created_at,id_str,text
Mon Apr 23 21:17:05 +0000 2018,988527200210046978,b'@SkySportsMNF @theowalcott @Everton @NUFC @Bundesliga_EN @premierleague Look ! Goal Fes Matchweek Again In Bundesli\xe2\x80\xa6 https://t.co/AjiyVvSvW8'
Mon Apr 23 21:17:05 +0000 2018,988527200218607616,b'RT @theprinceofiris: I think about this conversation daily... Thank you Lyon https://t.co/GlLgble9km'
Mon Apr 23 21:17:05 +0000 2018,988527199912423424,b'RT @dinamired: Arrived in beautiful #Cali 2 meet with the #ccan2025 executive team who are already making so much progress in the fight aga\xe2\x80\xa6'
Mon Apr 23 21:17:05 +0000 2018,988527200977739782,b'Arsenal used to be yer da lmao'
Mon Apr 23 21:17:05 +0000 2018,988527201304924160,"b'RT @RMadridBabe: Messi: ""They are winning Champions League We have to win Copa del Rey.""\nReferee: ""You know what to do Suarez""\n\nSuarez: ""\xe2\x80\xa6'"
Mon Apr 23 21:17:05 +0000 2018,988527201787305984,b'Everton 1-0 one shot on target \xf0\x9f\x8e\xaf One team on Merseyside = Liverpool \xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x98\x81'
Mon Apr 23 21:17:04 +0000 2018,988527198335389696,b'RT @PoliticalShort: Past attacks involving vehicles:\n\n2016 France - Rental cargo truck\n\n2016 Berlin Xmas Market - Hijacked truck\n\n2017 Lond\xe2\x80\xa6'
Mon Apr 23 21:17:05 +0000 2018,988527203829903361,b'RT @NketiahEra: Best Friends Turned Rivals.\n\n@Arsenal vs @atletienglish https://t.co/SyPQjkz1Ie'
Mon Apr 23 21:17:05 +0000 2018,988527203825709058,b'As a (rather pleasant) German his support for the EU is unsurprising. . .not sure black Caribbeans such as the\xe2\x80\xa6 https://t.co/YznwbQ6Ek2'
Mon Apr 23 21:17:06 +0000 2018,988527204605755393,"b""RT @donkopleone: Always a bit of an anticlimax when the PFA winner can't speak English very well and so struggles with the interview after\xe2\x80\xa6"""
